full_text,word_idx,word,logprob
"kneeling in gown with Bible in hand, facing to the right heel up in back",8,to,-3.29569411277771
"kneeling in gown with Bible in hand, facing to the right heel up in back",9,the,-0.5658839344978333
"kneeling in gown with Bible in hand, facing to the right heel up in back",10,right,-0.6732711791992188
"kneeling in gown with Bible in hand, facing to the right heel up in back",11,heel,-14.89773941040039
"kneeling in gown with Bible in hand, facing to the right heel up in back",12,up,-4.418320655822754
"kneeling in gown with Bible in hand, facing to the right heel up in back",13,in,-3.4103994369506836
"kneeling in gown with Bible in hand, facing to the right heel up in back",14,back,-5.5156354904174805
"Starting to stand after kneeling facing right, Bible still in hand",0,Starting,-9.337898254394531
"Starting to stand after kneeling facing right, Bible still in hand",1,to,-4.268444061279297
"Starting to stand after kneeling facing right, Bible still in hand",2,stand,-8.66609001159668
"Starting to stand after kneeling facing right, Bible still in hand",3,after,-5.746576309204102
"Starting to stand after kneeling facing right, Bible still in hand",4,kneeling,-7.17153263092041
"Starting to stand after kneeling facing right, Bible still in hand",5,facing,-11.250435829162598
"Starting to stand after kneeling facing right, Bible still in hand",6,"right,",-7.123401403427124
"Starting to stand after kneeling facing right, Bible still in hand",7,Bible,-13.517786979675293
"Starting to stand after kneeling facing right, Bible still in hand",8,still,-6.6187028884887695
"Starting to stand after kneeling facing right, Bible still in hand",9,in,-0.607912540435791
"Starting to stand after kneeling facing right, Bible still in hand",10,hand,-1.2351911067962646
"standing, but falling backward facing left right foot in the air arms out",0,"standing,",-18.26389503479004
"standing, but falling backward facing left right foot in the air arms out",1,but,-4.013431549072266
"standing, but falling backward facing left right foot in the air arms out",2,falling,-8.434395790100098
"standing, but falling backward facing left right foot in the air arms out",3,backward,-5.727410793304443
"standing, but falling backward facing left right foot in the air arms out",4,facing,-9.432060241699219
"standing, but falling backward facing left right foot in the air arms out",5,left,-6.334569931030273
"standing, but falling backward facing left right foot in the air arms out",6,right,-7.587806224822998
"standing, but falling backward facing left right foot in the air arms out",7,foot,-3.4946796894073486
"standing, but falling backward facing left right foot in the air arms out",8,in,-2.816295623779297
"standing, but falling backward facing left right foot in the air arms out",9,the,-3.071901798248291
"standing, but falling backward facing left right foot in the air arms out",10,air,-0.7857033014297485
"standing, but falling backward facing left right foot in the air arms out",11,arms,-6.430711269378662
"standing, but falling backward facing left right foot in the air arms out",12,out,-2.494593858718872
Priest standing up straight facing left reading from Bible,0,Priest,-12.037042260169983
Priest standing up straight facing left reading from Bible,1,standing,-10.246406555175781
Priest standing up straight facing left reading from Bible,2,up,-3.645350933074951
Priest standing up straight facing left reading from Bible,3,straight,-7.044834613800049
Priest standing up straight facing left reading from Bible,4,facing,-6.076188087463379
Priest standing up straight facing left reading from Bible,5,left,-3.926036834716797
Priest standing up straight facing left reading from Bible,6,reading,-8.659921646118164
Priest standing up straight facing left reading from Bible,7,from,-0.886127769947052
Priest standing up straight facing left reading from Bible,8,Bible,-3.4099063873291016
Guy relaxing in the park facing left arms to side (not visible) knees up,0,Guy,-10.681648254394531
Guy relaxing in the park facing left arms to side (not visible) knees up,1,relaxing,-13.3326416015625
Guy relaxing in the park facing left arms to side (not visible) knees up,2,in,-1.3103331327438354
Guy relaxing in the park facing left arms to side (not visible) knees up,3,the,-1.7103135585784912
Guy relaxing in the park facing left arms to side (not visible) knees up,4,park,-3.1949527263641357
Guy relaxing in the park facing left arms to side (not visible) knees up,5,facing,-10.21898365020752
Guy relaxing in the park facing left arms to side (not visible) knees up,6,left,-4.054157733917236
Guy relaxing in the park facing left arms to side (not visible) knees up,7,arms,-9.276102066040039
Guy relaxing in the park facing left arms to side (not visible) knees up,8,to,-6.0487260818481445
Guy relaxing in the park facing left arms to side (not visible) knees up,9,side,-1.5875418186187744
Guy relaxing in the park facing left arms to side (not visible) knees up,10,(not,-11.194859504699707
Guy relaxing in the park facing left arms to side (not visible) knees up,11,visible),-4.923223197460175
Guy relaxing in the park facing left arms to side (not visible) knees up,12,knees,-8.738922119140625
Guy relaxing in the park facing left arms to side (not visible) knees up,13,up,-2.6365182399749756
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",0,"standing,",-18.26389503479004
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",1,but,-4.013431549072266
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",2,falling,-8.434395790100098
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",3,forward,-4.164910793304443
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",4,left,-8.77718448638916
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",5,leg,-3.3183858394622803
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",6,on,-4.916838645935059
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",7,ground,-3.1860475540161133
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",8,right,-6.073792934417725
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",9,foot,-3.4031519889831543
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",10,in,-2.371049165725708
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",11,air,-0.8734130859375
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",12,arms,-6.399340629577637
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",13,out,-2.4385998249053955
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",14,to,-1.703508734703064
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",15,catch,-9.612106323242188
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",16,himself,-3.07958984375
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",17,face,-7.231836795806885
"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left",18,left,-5.348660945892334
kid facing right sitting on butt knees up slightly wearing bunny ears,0,kid,-12.806648254394531
kid facing right sitting on butt knees up slightly wearing bunny ears,1,facing,-10.540128707885742
kid facing right sitting on butt knees up slightly wearing bunny ears,2,right,-4.2935686111450195
kid facing right sitting on butt knees up slightly wearing bunny ears,3,sitting,-5.596073150634766
kid facing right sitting on butt knees up slightly wearing bunny ears,4,on,-0.49653929471969604
kid facing right sitting on butt knees up slightly wearing bunny ears,5,butt,-9.875818252563477
kid facing right sitting on butt knees up slightly wearing bunny ears,6,knees,-8.131092071533203
kid facing right sitting on butt knees up slightly wearing bunny ears,7,up,-1.6972663402557373
kid facing right sitting on butt knees up slightly wearing bunny ears,8,slightly,-6.636061668395996
kid facing right sitting on butt knees up slightly wearing bunny ears,9,wearing,-7.056596755981445
kid facing right sitting on butt knees up slightly wearing bunny ears,10,bunny,-9.404850006103516
kid facing right sitting on butt knees up slightly wearing bunny ears,11,ears,-1.3122202157974243
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,0,aaagh!!,-24.42643690109253
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,1,right,-8.577423095703125
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,2,half,-8.342267036437988
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,3,of,-0.29068344831466675
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,4,a,-5.822480201721191
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,5,bowl,-8.227463722229004
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,6,or,-5.816424369812012
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,7,plant,-7.983981132507324
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,8,pot,-2.6508352756500244
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,9,showing,-7.486705303192139
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,10,with,-4.350449085235596
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,11,a,-1.8523647785186768
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,12,triangle,-8.089221954345703
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,13,on,-3.0168137550354004
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,14,the,-0.9171717166900635
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,15,top,-2.4387025833129883
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,16,right,-1.8272607326507568
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,17,edge,-4.3657426834106445
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,18,not,-8.439226150512695
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,19,the,-3.058941125869751
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,20,very,-5.961305141448975
aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge,21,edge,-2.6326005458831787
Kneeling with bible facing to the right Heel up,0,Kneeling,-14.54589331150055
Kneeling with bible facing to the right Heel up,1,with,-4.155869483947754
Kneeling with bible facing to the right Heel up,2,bible,-9.727829933166504
Kneeling with bible facing to the right Heel up,3,facing,-7.313511848449707
Kneeling with bible facing to the right Heel up,4,to,-4.363941192626953
Kneeling with bible facing to the right Heel up,5,the,-0.5519635677337646
Kneeling with bible facing to the right Heel up,6,right,-1.9920474290847778
Kneeling with bible facing to the right Heel up,7,Heel,-15.125598907470703
Kneeling with bible facing to the right Heel up,8,up,-4.471442222595215
Standing up from kneeling Bible still in hand,0,Standing,-10.775398254394531
Standing up from kneeling Bible still in hand,1,up,-3.05772066116333
Standing up from kneeling Bible still in hand,2,from,-5.780997276306152
Standing up from kneeling Bible still in hand,3,kneeling,-4.9566826820373535
Standing up from kneeling Bible still in hand,4,Bible,-9.200942039489746
Standing up from kneeling Bible still in hand,5,still,-10.186351776123047
Standing up from kneeling Bible still in hand,6,in,-3.6327178478240967
Standing up from kneeling Bible still in hand,7,hand,-1.00715172290802
Falling off building Arms in air,0,Falling,-11.411545753479004
Falling off building Arms in air,1,off,-4.6999897956848145
Falling off building Arms in air,2,building,-9.440757751464844
Falling off building Arms in air,3,Arms,-15.635587692260742
Falling off building Arms in air,4,in,-4.424300193786621
Falling off building Arms in air,5,air,-4.682018280029297
Priest standing with bible Facing to the left,0,Priest,-12.037042260169983
Priest standing with bible Facing to the left,1,standing,-10.246406555175781
Priest standing with bible Facing to the left,2,with,-2.957850933074951
Priest standing with bible Facing to the left,3,bible,-6.11629581451416
Priest standing with bible Facing to the left,4,Facing,-10.072805404663086
Priest standing with bible Facing to the left,5,to,-7.575003623962402
Priest standing with bible Facing to the left,6,the,-0.6076279878616333
Priest standing with bible Facing to the left,7,left,-1.537256121635437
Bunny ears,0,Bunny,-12.93049144744873
Bunny ears,1,ears,-5.852781295776367
"Falling backwards, facing left, arms out",0,Falling,-11.411545753479004
"Falling backwards, facing left, arms out",1,"backwards,",-11.187812328338623
"Falling backwards, facing left, arms out",2,facing,-6.367419719696045
"Falling backwards, facing left, arms out",3,"left,",-8.092466354370117
"Falling backwards, facing left, arms out",4,arms,-3.925570011138916
"Falling backwards, facing left, arms out",5,out,-2.126063823699951
Half a pot with triangle on top,0,Half,-10.119148254394531
Half a pot with triangle on top,1,a,-2.3794257640838623
Half a pot with triangle on top,2,pot,-9.24393367767334
Half a pot with triangle on top,3,with,-4.868447303771973
Half a pot with triangle on top,4,triangle,-11.632572174072266
Half a pot with triangle on top,5,on,-3.648808717727661
Half a pot with triangle on top,6,top,-1.582626461982727
no arms or legs,0,no,-11.181648254394531
no arms or legs,1,arms,-10.400352478027344
no arms or legs,2,or,-3.4894609451293945
no arms or legs,3,legs,-0.27485713362693787
"high heel shoe, facing left",0,high,-11.150398254394531
"high heel shoe, facing left",1,heel,-7.40248966217041
"high heel shoe, facing left",2,"shoe,",-7.12669563293457
"high heel shoe, facing left",3,facing,-9.919416427612305
"high heel shoe, facing left",4,left,-2.3212521076202393
"baby looking up with arms out, bow on back of head",0,baby,-12.400398254394531
"baby looking up with arms out, bow on back of head",1,looking,-8.623122215270996
"baby looking up with arms out, bow on back of head",2,up,-2.5114173889160156
"baby looking up with arms out, bow on back of head",3,with,-3.0475053787231445
"baby looking up with arms out, bow on back of head",4,arms,-4.410881996154785
"baby looking up with arms out, bow on back of head",5,"out,",-6.146900534629822
"baby looking up with arms out, bow on back of head",6,bow,-9.193906784057617
"baby looking up with arms out, bow on back of head",7,on,-3.073111057281494
"baby looking up with arms out, bow on back of head",8,back,-4.596508979797363
"baby looking up with arms out, bow on back of head",9,of,-3.019102096557617
"baby looking up with arms out, bow on back of head",10,head,-0.5173512101173401
"arms out in front, back leg up, facing left",0,arms,-14.134773254394531
"arms out in front, back leg up, facing left",1,out,-6.414313316345215
"arms out in front, back leg up, facing left",2,in,-3.9386537075042725
"arms out in front, back leg up, facing left",3,"front,",-3.8485162258148193
"arms out in front, back leg up, facing left",4,back,-4.904354095458984
"arms out in front, back leg up, facing left",5,leg,-4.782344818115234
"arms out in front, back leg up, facing left",6,"up,",-4.531846404075623
"arms out in front, back leg up, facing left",7,facing,-6.008621692657471
"arms out in front, back leg up, facing left",8,left,-2.937084436416626
"sitting down, facing left, no arms visible",0,sitting,-14.883270263671875
"sitting down, facing left, no arms visible",1,"down,",-6.66779637336731
"sitting down, facing left, no arms visible",2,facing,-6.056954383850098
"sitting down, facing left, no arms visible",3,"left,",-6.118754208087921
"sitting down, facing left, no arms visible",4,no,-5.441952705383301
"sitting down, facing left, no arms visible",5,arms,-5.112751007080078
"sitting down, facing left, no arms visible",6,visible,-4.107801914215088
No arms or legs upright,0,No,-7.369148254394531
No arms or legs upright,1,arms,-11.39609432220459
No arms or legs upright,2,or,-3.0755252838134766
No arms or legs upright,3,legs,-0.3578530550003052
No arms or legs upright,4,upright,-15.05629825592041
baby facing left sitting down bow in back of head,0,baby,-12.400398254394531
baby facing left sitting down bow in back of head,1,facing,-8.873122215270996
baby facing left sitting down bow in back of head,2,left,-5.918211936950684
baby facing left sitting down bow in back of head,3,sitting,-5.3933634757995605
baby facing left sitting down bow in back of head,4,down,-4.1527557373046875
baby facing left sitting down bow in back of head,5,bow,-10.855116844177246
baby facing left sitting down bow in back of head,6,in,-3.9231581687927246
baby facing left sitting down bow in back of head,7,back,-4.264400959014893
baby facing left sitting down bow in back of head,8,of,-1.518534779548645
baby facing left sitting down bow in back of head,9,head,-0.6917752623558044
guy falling forward and left one leg up in back,0,guy,-14.507763862609863
guy falling forward and left one leg up in back,1,falling,-9.89439868927002
guy falling forward and left one leg up in back,2,forward,-6.353043556213379
guy falling forward and left one leg up in back,3,and,-2.9360175132751465
guy falling forward and left one leg up in back,4,left,-6.48120641708374
guy falling forward and left one leg up in back,5,one,-7.630196571350098
guy falling forward and left one leg up in back,6,leg,-2.4605391025543213
guy falling forward and left one leg up in back,7,up,-3.1342885494232178
guy falling forward and left one leg up in back,8,in,-2.206676483154297
guy falling forward and left one leg up in back,9,back,-4.913192272186279
kid sitting with bunny ears,0,kid,-12.806648254394531
kid sitting with bunny ears,1,sitting,-8.727628707885742
kid sitting with bunny ears,2,with,-3.0715818405151367
kid sitting with bunny ears,3,bunny,-7.924720287322998
kid sitting with bunny ears,4,ears,-2.95066499710083
starting to stand with Bible facing right,0,starting,-13.369148254394531
starting to stand with Bible facing right,1,to,-2.9106791019439697
starting to stand with Bible facing right,2,stand,-8.039982795715332
starting to stand with Bible facing right,3,with,-5.171801567077637
starting to stand with Bible facing right,4,Bible,-10.052969932556152
starting to stand with Bible facing right,5,facing,-8.954140663146973
starting to stand with Bible facing right,6,right,-5.67498779296875
Priest standing facing left with Bible,0,Priest,-12.037042260169983
Priest standing facing left with Bible,1,standing,-10.246406555175781
Priest standing facing left with Bible,2,facing,-7.145350933074951
Priest standing facing left with Bible,3,left,-2.502277374267578
Priest standing facing left with Bible,4,with,-2.4079999923706055
Priest standing facing left with Bible,5,Bible,-6.437138557434082
guy relaxing in park facing left arms not visible,0,guy,-14.507763862609863
guy relaxing in park facing left arms not visible,1,relaxing,-11.72252368927002
guy relaxing in park facing left arms not visible,2,in,-1.2241673469543457
guy relaxing in park facing left arms not visible,3,park,-5.085994243621826
guy relaxing in park facing left arms not visible,4,facing,-9.391353607177734
guy relaxing in park facing left arms not visible,5,left,-4.538817882537842
guy relaxing in park facing left arms not visible,6,arms,-9.06159782409668
guy relaxing in park facing left arms not visible,7,not,-8.702825546264648
guy relaxing in park facing left arms not visible,8,visible,-2.6378512382507324
jumping off building to the left arms up,0,jumping,-15.394176006317139
jumping off building to the left arms up,1,off,-3.70449161529541
jumping off building to the left arms up,2,building,-7.58481502532959
jumping off building to the left arms up,3,to,-3.705934524536133
jumping off building to the left arms up,4,the,-4.187939643859863
jumping off building to the left arms up,5,left,-3.1471810340881348
jumping off building to the left arms up,6,arms,-11.181745529174805
jumping off building to the left arms up,7,up,-2.665769577026367
kneeling to right with Bible,0,kneeling,-17.15237820148468
kneeling to right with Bible,1,to,-4.747791767120361
kneeling to right with Bible,2,right,-8.406913757324219
kneeling to right with Bible,3,with,-3.2359390258789062
kneeling to right with Bible,4,Bible,-6.838963985443115
half a bowl or pot with a triangle on top,0,half,-13.103523254394531
half a bowl or pot with a triangle on top,1,a,-3.1708102226257324
half a bowl or pot with a triangle on top,2,bowl,-6.799208641052246
half a bowl or pot with a triangle on top,3,or,-4.950777530670166
half a bowl or pot with a triangle on top,4,pot,-4.897378921508789
half a bowl or pot with a triangle on top,5,with,-3.7130632400512695
half a bowl or pot with a triangle on top,6,a,-2.018514394760132
half a bowl or pot with a triangle on top,7,triangle,-9.752197265625
half a bowl or pot with a triangle on top,8,on,-2.551703453063965
half a bowl or pot with a triangle on top,9,top,-1.2457752227783203
high heel shoe,0,high,-11.150398254394531
high heel shoe,1,heel,-7.40248966217041
high heel shoe,2,shoe,-2.9768295288085938
facing left one leg up arms up falling backward,0,facing,-15.560293197631836
facing left one leg up arms up falling backward,1,left,-7.381245136260986
facing left one leg up arms up falling backward,2,one,-6.814756393432617
facing left one leg up arms up falling backward,3,leg,-5.392259120941162
facing left one leg up arms up falling backward,4,up,-3.3145265579223633
facing left one leg up arms up falling backward,5,arms,-7.551107883453369
facing left one leg up arms up falling backward,6,up,-2.4678661823272705
facing left one leg up arms up falling backward,7,falling,-10.048095703125
facing left one leg up arms up falling backward,8,backward,-4.112260818481445
"guy sitting in park, no arms visible, facing left",0,guy,-14.507763862609863
"guy sitting in park, no arms visible, facing left",1,sitting,-6.6131486892700195
"guy sitting in park, no arms visible, facing left",2,in,-1.4097760915756226
"guy sitting in park, no arms visible, facing left",3,"park,",-8.657310247421265
"guy sitting in park, no arms visible, facing left",4,no,-6.534445762634277
"guy sitting in park, no arms visible, facing left",5,arms,-5.4118547439575195
"guy sitting in park, no arms visible, facing left",6,"visible,",-6.191673278808594
"guy sitting in park, no arms visible, facing left",7,facing,-5.670626640319824
"guy sitting in park, no arms visible, facing left",8,left,-2.442307472229004
high heel shoe,0,high,-11.150398254394531
high heel shoe,1,heel,-7.40248966217041
high heel shoe,2,shoe,-2.9768295288085938
"baby looking up, bow in back of head",0,baby,-12.400398254394531
"baby looking up, bow in back of head",1,looking,-8.623122215270996
"baby looking up, bow in back of head",2,"up,",-6.62142276763916
"baby looking up, bow in back of head",3,bow,-9.798431396484375
"baby looking up, bow in back of head",4,in,-2.9469776153564453
"baby looking up, bow in back of head",5,back,-4.526318550109863
"baby looking up, bow in back of head",6,of,-1.639668345451355
"baby looking up, bow in back of head",7,head,-0.37694841623306274
bunny ears,0,bunny,-15.613133430480957
bunny ears,1,ears,-4.727306365966797
"guy falling backward, arms out in front out*",0,guy,-14.507763862609863
"guy falling backward, arms out in front out*",1,falling,-9.89439868927002
"guy falling backward, arms out in front out*",2,"backward,",-10.519627571105957
"guy falling backward, arms out in front out*",3,arms,-4.456820011138916
"guy falling backward, arms out in front out*",4,out,-1.1019792556762695
"guy falling backward, arms out in front out*",5,in,-3.9556312561035156
"guy falling backward, arms out in front out*",6,front,-0.9345285892486572
"guy falling backward, arms out in front out*",7,out*,-21.375815391540527
"priest kneeling with Bible, heel up",0,priest,-15.631739377975464
"priest kneeling with Bible, heel up",1,kneeling,-9.012772560119629
"priest kneeling with Bible, heel up",2,with,-2.9349913597106934
"priest kneeling with Bible, heel up",3,"Bible,",-8.449629545211792
"priest kneeling with Bible, heel up",4,heel,-12.765327453613281
"priest kneeling with Bible, heel up",5,up,-5.778830528259277
half a pot with triangle on top,0,half,-13.103523254394531
half a pot with triangle on top,1,a,-3.1708102226257324
half a pot with triangle on top,2,pot,-6.830458641052246
half a pot with triangle on top,3,with,-5.161404609680176
half a pot with triangle on top,4,triangle,-12.402288436889648
half a pot with triangle on top,5,on,-3.250293493270874
half a pot with triangle on top,6,top,-1.7069214582443237
"priest holding Bible, facing left",0,priest,-15.631739377975464
"priest holding Bible, facing left",1,holding,-8.122147560119629
"priest holding Bible, facing left",2,"Bible,",-9.31863021850586
"priest holding Bible, facing left",3,facing,-5.977302551269531
"priest holding Bible, facing left",4,left,-2.7981393337249756
"man with arms out front, back leg up, facing left",0,man,-11.306648254394531
"man with arms out front, back leg up, facing left",1,with,-4.296573638916016
"man with arms out front, back leg up, facing left",2,arms,-5.218666076660156
"man with arms out front, back leg up, facing left",3,out,-2.354311943054199
"man with arms out front, back leg up, facing left",4,"front,",-11.223941087722778
"man with arms out front, back leg up, facing left",5,back,-4.880302429199219
"man with arms out front, back leg up, facing left",6,leg,-7.266873359680176
"man with arms out front, back leg up, facing left",7,"up,",-3.642927646636963
"man with arms out front, back leg up, facing left",8,facing,-3.985091209411621
"man with arms out front, back leg up, facing left",9,left,-2.119203567504883
"no arms or legs, upright",0,no,-11.181648254394531
"no arms or legs, upright",1,arms,-10.400352478027344
"no arms or legs, upright",2,or,-3.4894609451293945
"no arms or legs, upright",3,"legs,",-1.9307439029216766
"no arms or legs, upright",4,upright,-10.67435073852539
jumping off building with arms out front,0,jumping,-15.394176006317139
jumping off building with arms out front,1,off,-3.70449161529541
